ts,price_eur_per_mwh,allocation
2015-01-04 18:00:00+00:00,29.42,9.08182731106527e-23
2015-01-04 19:00:00+00:00,28.92,3.5047344196215777e-23
2015-01-04 20:00:00+00:00,28.66,3.6095571470442896e-23
2015-01-04 21:00:00+00:00,29.03,8.906266477885707e-23
2015-01-04 22:00:00+00:00,27.68,3.687821709351051e-23
2015-01-04 23:00:00+00:00,28.19,3.42064645793612e-23
2015-01-05 00:00:00+00:00,28.15,3.554831107096685e-23
2015-01-05 01:00:00+00:00,28.13,3.503992908185522e-23
2015-01-05 02:00:00+00:00,28.05,9.121708633848196e-23
2015-01-05 03:00:00+00:00,28.04,9.004766763074393e-23
2015-01-05 04:00:00+00:00,27.01,3.443442296198996e-23
2015-01-05 05:00:00+00:00,27.6,3.759260662285778e-23
2015-01-05 06:00:00+00:00,33.62,3.2911765587729013e-23
2015-01-05 07:00:00+00:00,38.15,9.257353902731906e-23
2015-01-05 08:00:00+00:00,41.51,8.83392343914312e-23
2015-01-05 09:00:00+00:00,40.46,9.317072378822176e-23
2015-01-05 10:00:00+00:00,40.97,-2.2031310556707974e-23
2015-01-05 11:00:00+00:00,40.72,9.219817426022252e-23
2015-01-05 12:00:00+00:00,41.92,-2.152557040094558e-23
2015-01-05 13:00:00+00:00,42.0,9.129416664646591e-23
2015-01-05 14:00:00+00:00,43.1,8.882110880003464e-23
2015-01-05 15:00:00+00:00,46.7,-1.6150551036803266e-23
2015-01-05 16:00:00+00:00,56.78,8.910097743824845e-23
2015-01-05 17:00:00+00:00,58.84,8.6460751464272e-23
2015-01-05 18:00:00+00:00,49.23,-1.328340286681191e-23
2015-01-05 19:00:00+00:00,44.32,8.505167291939378e-23
2015-01-05 20:00:00+00:00,35.86,-1.6446419687971546e-23
2015-01-05 21:00:00+00:00,32.56,3.279887917147249e-23
2015-01-05 22:00:00+00:00,30.03,9.206947913064771e-23
2015-01-05 23:00:00+00:00,30.02,3.432395768571108e-23
2015-01-06 00:00:00+00:00,29.81,9.133684442896515e-23
2015-01-06 01:00:00+00:00,29.41,8.974381591473377e-23
2015-01-06 02:00:00+00:00,27.89,3.6348575122350945e-23
2015-01-06 03:00:00+00:00,27.89,3.40946875053971e-23
2015-01-06 04:00:00+00:00,28.01,3.6436436390770165e-23
2015-01-06 05:00:00+00:00,29.67,8.952475823718007e-23
2015-01-06 06:00:00+00:00,30.03,1.47037395705344e-22
2015-01-06 07:00:00+00:00,30.5,3.462348529639528e-23
2015-01-06 08:00:00+00:00,30.35,9.136920847662621e-23
2015-01-06 09:00:00+00:00,30.53,3.4584229270872594e-23
2015-01-06 10:00:00+00:00,29.91,9.10790593412732e-23
2015-01-06 11:00:00+00:00,29.62,9.066694475031281e-23
2015-01-06 12:00:00+00:00,29.58,9.067511603773261e-23
2015-01-06 13:00:00+00:00,29.57,1.4611003067919279e-22
2015-01-06 14:00:00+00:00,29.62,9.110285126792257e-23
2015-01-06 15:00:00+00:00,29.99,9.015586188558061e-23
2015-01-06 16:00:00+00:00,29.65,9.126906052242262e-23
2015-01-06 17:00:00+00:00,29.58,9.034502768652774e-23
2015-01-06 18:00:00+00:00,29.0,1.463618206893982e-22
2015-01-06 19:00:00+00:00,28.45,9.064447180564514e-23
2015-01-06 20:00:00+00:00,28.15,3.560988448957339e-23
2015-01-06 21:00:00+00:00,28.08,9.002854433016901e-23
2015-01-06 22:00:00+00:00,26.97,9.120663877000158e-23
2015-01-06 23:00:00+00:00,26.35,3.508185822534056e-23
2015-01-07 00:00:00+00:00,26.08,9.066377874354396e-23
2015-01-07 01:00:00+00:00,26.03,1.4639511430871733e-22
2015-01-07 02:00:00+00:00,26.17,1.4598712769436998e-22
2015-01-07 03:00:00+00:00,26.1,3.484863769038415e-23
2015-01-07 04:00:00+00:00,26.84,9.151414338298908e-23
2015-01-07 05:00:00+00:00,30.07,1.4599663986120975e-22
2015-01-07 06:00:00+00:00,33.17,3.5073965866310157e-23
2015-01-07 07:00:00+00:00,34.1,1.4548081885367288e-22
2015-01-07 08:00:00+00:00,33.28,-1.8729327634098658e-23
2015-01-07 09:00:00+00:00,34.08,8.952345207572883e-23
2015-01-07 10:00:00+00:00,33.63,-1.9455357429333394e-23
2015-01-07 11:00:00+00:00,32.76,1.450985230244702e-22
2015-01-07 12:00:00+00:00,30.65,9.20936990684568e-23
2015-01-07 13:00:00+00:00,30.31,3.383760416263602e-23
2015-01-07 14:00:00+00:00,29.79,9.230118610056459e-23
2015-01-07 15:00:00+00:00,30.72,3.358736750111612e-23
2015-01-07 16:00:00+00:00,29.56,1.4720833247729322e-22
2015-01-07 17:00:00+00:00,28.84,9.041324519212312e-23
2015-01-07 18:00:00+00:00,28.2,9.074562379720292e-23
2015-01-07 19:00:00+00:00,27.75,9.057895359891148e-23
2015-01-07 20:00:00+00:00,27.42,3.6564516640247206e-23
2015-01-07 21:00:00+00:00,26.7,3.1898754316069127e-23
2015-01-07 22:00:00+00:00,22.11,9.47819451049014e-23
2015-01-07 23:00:00+00:00,21.92,1.437511652475356e-22
2015-01-08 00:00:00+00:00,19.35,9.089207024570482e-23
2015-01-08 01:00:00+00:00,16.11,6.385987671601768e-23
2015-01-08 02:00:00+00:00,14.93,6.174708949335191e-23
2015-01-08 03:00:00+00:00,15.0,9.105645331850564e-23
2015-01-08 04:00:00+00:00,19.04,1.196877138317864e-22
2015-01-08 05:00:00+00:00,26.17,8.971879995098229e-23
2015-01-08 06:00:00+00:00,29.41,8.956977663479263e-23
2015-01-08 07:00:00+00:00,28.1,1.481372543339224e-22
2015-01-08 08:00:00+00:00,28.23,3.4413143788435314e-23
2015-01-08 09:00:00+00:00,28.35,9.086025183258222e-23
2015-01-08 10:00:00+00:00,28.46,3.509066613545164e-23
2015-01-08 11:00:00+00:00,28.46,9.090961673408601e-23
2015-01-08 12:00:00+00:00,28.6,3.506228971302929e-23
2015-01-08 13:00:00+00:00,28.45,9.064702726180674e-23
2015-01-08 14:00:00+00:00,28.24,3.544103294123426e-23
2015-01-08 15:00:00+00:00,28.43,3.510321150039797e-23
2015-01-08 16:00:00+00:00,28.4,9.059291029995812e-23
2015-01-08 17:00:00+00:00,27.98,9.087731653273594e-23
2015-01-08 18:00:00+00:00,27.69,9.061941506321599e-23
2015-01-08 19:00:00+00:00,27.46,9.019194810139318e-23
2015-01-08 20:00:00+00:00,27.31,9.425496719655967e-23
2015-01-08 21:00:00+00:00,26.71,2.8859397158877775e-23
2015-01-08 22:00:00+00:00,15.93,9.471164033324722e-23
2015-01-08 23:00:00+00:00,11.55,9.27593257803269e-23
2015-01-09 00:00:00+00:00,13.47,1.1226682651439642e-22
2015-01-09 01:00:00+00:00,11.23,8.367785703350607e-23
2015-01-09 02:00:00+00:00,16.0,8.49234657132287e-23
